HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS_x,GAME_DATE,MATCHUP,TEAM_NAME,TEAM_ABBREVIATION,PTS,REB,AST,STL,BLK,TOV,HOME_TEAM_BKN,HOME_TEAM_BOS,HOME_TEAM_CHA,HOME_TEAM_CHI,HOME_TEAM_CLE,HOME_TEAM_DAL,HOME_TEAM_DEN,HOME_TEAM_DET,HOME_TEAM_GSW,HOME_TEAM_HOU,HOME_TEAM_IND,HOME_TEAM_LAC,HOME_TEAM_LAL,HOME_TEAM_MEM,HOME_TEAM_MIA,HOME_TEAM_MIL,HOME_TEAM_MIN,HOME_TEAM_NOP,HOME_TEAM_NYK,HOME_TEAM_OKC,HOME_TEAM_ORL,HOME_TEAM_PHI,HOME_TEAM_PHX,HOME_TEAM_POR,HOME_TEAM_SAC,HOME_TEAM_SAS,HOME_TEAM_TOR,HOME_TEAM_UTA,HOME_TEAM_WAS,AWAY_TEAM_BKN,AWAY_TEAM_BOS,AWAY_TEAM_CHA,AWAY_TEAM_CHI,AWAY_TEAM_CLE,AWAY_TEAM_DAL,AWAY_TEAM_DEN,AWAY_TEAM_DET,AWAY_TEAM_GSW,AWAY_TEAM_HOU,AWAY_TEAM_IND,AWAY_TEAM_LAC,AWAY_TEAM_LAL,AWAY_TEAM_MEM,AWAY_TEAM_MIA,AWAY_TEAM_MIL,AWAY_TEAM_MIN,AWAY_TEAM_NOP,AWAY_TEAM_NYK,AWAY_TEAM_OKC,AWAY_TEAM_ORL,AWAY_TEAM_PHI,AWAY_TEAM_PHX,AWAY_TEAM_POR,AWAY_TEAM_SAC,AWAY_TEAM_SAS,AWAY_TEAM_TOR,AWAY_TEAM_UTA,AWAY_TEAM_WAS
1610612738,1610612737,2021,1610612738,105.0,0.424,0.815,0.289,21.0,54.0,1610612737,95.0,0.366,1.0,0.316,18.0,48.0,1,10,10,7,7,105,54,21,5,6,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1610612763,1610612745,2021,1610612763,113.0,0.5,0.611,0.379,22.0,38.0,1610612745,106.0,0.494,0.655,0.333,25.0,40.0,1,11,11,8,8,113,38,22,10,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1610612758,1610612765,2021,1610612758,131.0,0.524,0.705,0.444,22.0,35.0,1610612765,133.0,0.505,0.867,0.417,27.0,41.0,0,12,12,9,9,131,35,22,4,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1610612759,1610612742,2021,1610612759,108.0,0.489,0.75,0.333,25.0,40.0,1610612742,109.0,0.43,0.724,0.235,21.0,56.0,0,13,13,10,10,109,56,21,10,4,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1610612757,1610612759,2021,1610612757,96.0,0.383,0.944,0.269,18.0,43.0,1610612759,133.0,0.489,0.917,0.432,34.0,53.0,0,14,14,11,11,133,53,34,8,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1610612752,1610612749,2021,1610612752,100.0,0.434,0.706,0.432,19.0,38.0,1610612749,112.0,0.444,0.667,0.52,29.0,50.0,0,15,15,12,12,112,50,29,4,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1610612766,1610612744,2021,1610612766,106.0,0.477,0.667,0.389,23.0,39.0,1610612744,102.0,0.422,0.68,0.231,31.0,49.0,1,16,16,3,3,106,39,23,10,2,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1610612749,1610612739,2021,1610612749,90.0,0.393,0.727,0.316,18.0,44.0,1610612739,119.0,0.5,0.929,0.356,36.0,46.0,0,17,17,12,12,90,44,18,8,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1610612765,1610612759,2021,1610612765,117.0,0.406,0.788,0.257,18.0,63.0,1610612759,116.0,0.412,0.714,0.3,30.0,48.0,1,18,18,11,11,116,48,30,8,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1610612760,1610612756,2021,1610612760,104.0,0.473,0.909,0.194,22.0,42.0,1610612756,124.0,0.535,0.905,0.382,32.0,43.0,0,19,19,13,13,104,42,22,10,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
